visited_states,solution_length
916,26
441,24
302,18
490,26
348,22
417,22
74,20
512,24
477,22
646,26
111,24
141,22
180,26
474,22
35,16
94,20
339,22
588,24
496,24
65,20
437,24
767,26
605,24
49,18
660,22
139,22
83,20
635,24
2090,26
44,16
1080,26
142,20
1666,28
424,22
218,20
149,22
54,16
574,24
82,16
75,22
315,22
529,26
184,22
288,24
895,26
735,26
158,22
447,22
267,22
8,6
488,22
278,26
447,24
39,18
278,24
1789,26
23,16
1494,28
632,26
706,24
1015,26
186,24
105,22
750,26
78,20
217,20
146,20
417,22
835,24
144,20
252,22
217,24
337,22
115,20
98,18
198,22
93,20
139,20
1337,26
330,22
793,24
1433,28
569,22
594,22
146,20
201,18
109,18
501,24
1404,28
16,14
208,22
172,24
86,18
859,24
714,22
225,18
1171,26
146,22
229,22
388,24
